date,agent_equity,agent_return,spy_equity,spy_return,cash,costs,trades,active_positions,latest_weights,execution,agent_drawdown,spy_drawdown
2024-05-01,996.6805475595706,-0.0033194524404293047,996.9477267332229,-0.003052273266777039,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,0.0,0.0
2024-05-02,994.6977976468739,-0.005302202353126062,1006.2726153158823,0.006272615315882302,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.001989353476950617,0.0
2024-05-03,994.4064175404161,-0.005593582459583857,1018.7456890223638,0.018745689022363843,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.002281704027155773,0.0
2024-05-06,1000.5630907918065,0.0005630907918066086,1029.2660901734837,0.029266090173483583,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,0.0,0.0
2024-05-07,1008.2902791191517,0.0082902791191517,1030.4018301538356,0.030401830153835574,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,0.0,0.0
2024-05-08,1008.7053782806747,0.008705378280674747,1030.501430865251,0.030501430865250923,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,0.0,0.0
2024-05-09,1015.1284031661429,0.015128403166142945,1036.4390439716553,0.036439043971655316,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,0.0,0.0
2024-05-10,1016.700854259712,0.016700854259712017,1037.7741069874285,0.037774106987428446,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,0.0,0.0
2024-05-13,1016.2675501931093,0.016267550193109326,1037.913475015856,0.03791347501585607,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.00042618638981883894,0.0
2024-05-14,1012.4408214838569,0.012440821483856945,1042.675580824896,0.0426755808248962,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.004190055273394,0.0
2024-05-15,1023.8354465618778,0.02383544656187775,1055.5870679192317,0.055587067919231625,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,0.0,0.0
2024-05-16,1022.5038118394251,0.02250381183942518,1053.4151886699428,0.05341518866994277,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.0013006335411851477,-0.002057508390634233
2024-05-17,1026.5403718519774,0.02654037185197744,1054.9295086437457,0.054929508643745795,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,0.0,-0.0006229322956581296
2024-05-20,1019.7661632318454,0.019766163231845546,1056.144904870712,0.05614490487071211,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.006599066929935393,0.0
2024-05-21,1015.9832804857122,0.01598328048571207,1058.7351314304635,0.058735131430463605,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.010284146299301633,0.0
2024-05-22,1014.2587920682213,0.014258792068221338,1055.686668630647,0.055686668630647196,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.011964049462174553,-0.0028793441431358424
2024-05-23,1004.0868770276552,0.0040868770276552,1047.975700733206,0.047975700733206006,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.021872977858448883,-0.010162532986621953
2024-05-24,999.0427965758125,-0.0009572034241874805,1054.9095641789445,0.05490956417894455,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.02678664768591288,-0.0036133374041817934
2024-05-28,988.2492758379067,-0.011750724162093329,1055.6467797010448,0.0556467797010447,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.037301110666490334,-0.002917020166551043
2024-05-29,983.5684077004817,-0.016431592299518294,1048.254558402651,0.048254558402650805,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.04186095874044404,-0.009899145420490862
2024-05-30,984.9397987258524,-0.015060201274147644,1041.300750492111,0.041300750492111016,99.1,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",rebalance_at_open_mark_at_close,-0.040525023921926806,-0.016467179014638678
